event_id,event_name,event_desciption
11,Comedy-by-Bow - Free East End Comedy Night!,"A free weekly open mic and new material night featuring the rising stars of the London comedy circuit in one of the East End's friendliest pubs. Follow the Facebook page to find out the line-up every week. www.facebook.com/comedybybow Join host and MC Mark O'Neil as we delve into the inner-most thoughts of London's freshest comedians and watch an MC have what could only be described as a drunken mental breakdown. Totally free every week, and no collection bucket at the end; free to get in, free to get out. Plus show us your booking and you'll go into a raffle to win a free pint."
12,ComedyMania: Laugh In The Box,"For those that don't know. Aurie Styla is a young entertainer from London and is known for his stand-up comedy, presenting and owner of the comedy brand Funny Heads Entertainment. Anyone who has seen him perform will remember his charisma, tongue-in-cheek banter and big smile! Currently, Aurie is presenter on BBC Radio London, every Monday night from 8pm - 10pm, and is the co-star to the 2019 horror comedy ""Are We Dead Yet?' In addition to touring, filming & presenting, Aurie and his team also run a comedy roadshow called ComedyMania, which brings comedy from around the world to venues across the UK. Line Up: Aurie Styla (Host) Masud Milas Maureen Younger Elliott Steel DJ SheJay"
13,MOOP: Improv Comedy Night,"MOOP presents an evening of long-form improvised comedy at the Historic Nell of Old Drury, Covent Garden. Featuring special guests: No. 95 (Charlie Kemp/ Katharine Bennett-Fox) MEAN PEOPLE DIRTY PICNIC And JESS & HALEY Come! It'll be brilliant, it'll be free and it'll be fun! MOOP are: Miriam Craig Eli Cohn Monika Hadalska Katie Handley Al Jarrett Michael Jeffries Colin Rothwell Marc Salmon Fiona Marie Simpson Rosanna Wood Jack Vaughan *** We strongly recommend you reserve a ticket, if you are definitely coming, as spaces are limited and it will be busy***"
14,Word of Muff Comedy Night,"Remember, remember the 5th of November! That's the date you *need* to get in your calendar, right now, if you want to start your month in the best way! We can't guarantee the fireworks, but we can definitely guarantee the laughter! Word of Muff was created by 20% Less to steal back stage time from the straight white male and will regularly bring you an all female line up of comedians. Performers will regale you with improvised comedy, sketch and character comedy and stand up, as well as live music on occasion. Past editions included Kemah Bob, Grainne Mcguire, Bisha K. Ali, Sophie Duker, Athena Kugblenu, Shelf, Jodie Mitchell, Fathia Al-Ghorri, among many others. Comedy made by women for everyone! Time: Doors open 7:45pm / Show at 8pm Where: The Miller | 96 Snowfields Road | SE1 3SS. Tube: London Bridge."
15,JPP Comedy Night,Come on down for a night to Remember!! Bar open from 5pm 🍻 Comedy Starts 8pm 📍 Colour House Theatre | Merton Abbey Mills
16,Football Coaching ,Football training at Hainault Youth Centre with the opportunity to gain a certificate in football skills Coaching sessions delivered by a qualified FA affiliated coach in a purpose built sports hall Take part in football tournaments friendly matches and learn new skills
17,Football Camp - Autumn 2019,"Join us for our popular Football Camp. Coached by Mr Hallas, up your game with four packed days of coaching, matches and workshops. In the mornings we'll focus on core skills, with a series of exciting warm-ups and workshops. Each afternoon will be spent at our new Hervey Road Sports ground where we will put our skills into practice in fun games and matches. Football camp runs from Monday 21st to Thursday 24th October 2019 and is open from 10am to 4pm. The Pointer School Football Camp is staffed by trained childcare professionals who are DBS checked and first aid qualified. For more information visit: http://pointers-school.co.uk/sportscamps **** NB: We have updated our cancellation policy **** Any places cancelled with at least 7 days notice will receive a full refund to the original payment method. Cancellations received between 7 and 3 days in advance will receive a credit note to be used at a future holiday club. No refunds are provided for places cancelled with less than 3 days notice. 3 days notice is defined as 72hours prior to the opening time of holiday club on the day you have booked. Payments made by Child Care Voucher will only be refunded as a credit note for use a future holiday club."
18,Football Agent & Business Summit 2019,"Learn. Interact. Network A summit like no other. Throughout the day you will gain invaluable insight into all the different aspects of the life and work of an agent through keynote discussions and panels from a wide variety of jobs in the football industry. In addition, you will benefit from the chance to meet and network with these impressive speakers and panelists at multiple opportunities. Keynote speakers: Dr. Erkut Sögüt LL.M. (Agent of Mesut Özil) Dr. Erkut Sögüt LL.M. Daniel Geey (Sports lawyer, Sheridans) Daniel Geey Moderators and panellists include:     James Johnson (Senior VP External Affairs – City Football Group, former Head of Football – FIFA)     Misha Sher (Worldwide VP Sport & Entertainment – MediaCom)     Raphael Honigstein (ESPN, The Guardian)     Hendrik Almstadt (International Relations Director – AC Milan)     Robert Pires (Ex-footballer)     Andy Howe (Head of Domestic First Team Scouting – Bournemouth)     Hubert Raschka (Owner – We Play Forward)     Mathieu Flamini (Footballer, Co-founder 'Unity')     and many more... Learn. Interact. Network:     Hours of netowrking (with speakers, panellists, and guests)     Access to some of the biggest names in football agency and the football-business world     A truly international event located in the heart of London     Leading speakers & panellists FAQs Are there ID or minimum age requirements to enter the event? No, however those who purchase the student ticket must imminently send proof of student status to summit@footballagenteducation.com How can I contact the organiser with any questions? Email summit@footballagenteducation.com with any questions What's the refund policy? No refunds policy due to venue booking Is it ok if the name on my ticket or registration doesn't match the person who attends? No, your name must match the ticket buyer What is the dress code? Smart-casual Is food or drink provided? Refreshments (water, soft drinks, tea and coffee) will be provided throughout the day. Due to venue restrictions food will not be provided."
19,Total Ballers Academy Football Sessions,football sessions in a safe environment that help's a child improve his or her footballing ability. We promise to deliver meticulously planned sessions from FA-qualified and DBS checked coaches. We also have competitive football matches against other teams to further develop our footballers. 2-5 year olds-9.15-10am 6-8 year olds-10-11am 9-12 year olds -11-12am
20,Football Fun Kick Around - Uxbridge,"Fun Kick About every Sunday. Play full pitch with bibs and nets. Not serious, great way to get back in shape. "
